Date,Stamco,Braner,Red Bud
4/18/2024,5,6,9
4/17/2024,6,6,10
4/16/2024,6,6,10
4/15/2024,6,6,10
4/12/2024,6,6,10
4/11/2024,6,6,10
4/10/2024,6,6,10
4/9/2024,7,7,10
4/1/2024,7,7,10
3/29/2024,8,8,11
3/28/2024,8,8,11
3/27/2024,8,8,11
3/26/2024,8,8,11
3/25/2024,8,8,11
3/22/2024,8,8,11
3/15/2024,9,8,12
3/14/2024,10,10,14
3/13/2024,10,10,14
3/12/2024,10,10,14
3/11/2024,10,10,14
3/8/2024,10,10,14
3/7/2024,10,10,14
3/6/2024,10,10,14
3/5/2024,9,10,14
3/4/2024,9,10,14
3/1/2024,9,10,14
2/29/2024,8,10,14
2/28/2024,8,10,14
2/27/2024,8,10,14
2/26/2024,9,10,14
2/23/2024,9,10,14
2/22/2024,10,10,14
2/21/2024,10,10,14
2/16/2024,10,10,14
2/15/2024,10,10,14
2/14/2024,10,10,14
2/13/2024,10,10,10
2/12/2024,10,10,10
2/9/2024,10,10,10
2/8/2024,10,10,10
2/7/2024,10,10,10
2/6/2024,10,10,10
2/5/2024,10,10,10
2/2/2024,10,10,10
2/1/2024,10,10,10
1/31/2024,10,10,10
1/30/2024,10,10,10
1/29/2024,10,10,10
1/26/2024,10,10,10
1/25/2024,10,10,10
1/24/2024,10,10,7
1/23/2024,10,10,7
1/22/2024,10,10,6
1/19/2024,10,10,5
1/18/2024,10,10,5
1/17/2024,10,10,6
1/16/2024,10,10,5
1/15/2024,10,10,5
1/12/2024,10,10,5
1/11/2024,10,10,5
1/10/2024,10,10,5
1/9/2024,10,10,5
1/8/2024,10,10,5
1/5/2024,10,10,5
1/4/2024,10,10,5
1/3/2024,10,10,5
1/2/2024,10,10,5
12/29/2023,10,10,5
12/20/2023,10,10,7
12/19/2023,10,10,7
12/14/2023,10,10,7
12/13/2023,10,10,8
12/11/2023,10,10,8
12/8/2023,10,10,8
12/7/2023,10,10,8
12/6/2023,10,10,8
12/5/2023,10,10,8
12/4/2023,10,10,8
12/1/2023,10,10,8
11/30/2023,10,10,8
11/29/2023,10,10,7
11/28/2023,10,10,6
