MAINTENANCE RELATED,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC,TOTALS
Maint. Entry coil cart/Rail,,2.00,0.25,1.25,,,,,,,,,3.50
Exit Coil cart down,0.50,0.25,,2.25,,,,,,,,,3.00
Uncoiler,4.00,,,0.50,,,,,,,,,4.50
Crane Down/Jib Crane,1.00,,,,,,,,,,,,1.00
Slitter table,,1.50,1.00,,,,,,,,,,2.50
Exit table,,,5.75,,,,,,,,,,5.75
Change shear blades/Shear Maint.,,,,0.75,,,,,,,,,0.75
No Power/Change fuse,,0.25,5.50,,,,,,,,,,5.75
Maint. On entry rail/unit/Scrap Cart,,,,0.75,,,,,,,,,0.75
Repair air leak/No Air,0.50,,0.50,1.00,,,,,,,,,2.00
Overarm jetnut,,,,,,,,,,,,,
Scrap Cart,1.25,,,,,,,,,,,,1.25
hydraulic leak/Maint. On Hydraulics,,0.50,,0.25,,,,,,,,,0.75
Maint on line no reason given/PM,2.00,,,1.00,,,,,,,,,3.00
Maint. On pinch roll,,,,,,,,,,,,,
No power/computer/cameras,6.75,,1.00,,,,,,,,,,7.75
Entry unit,,,,,,,,,,,,,
Maint. On overarm/Underarm,1.75,,,,,,,,,,,,1.75
Maint on scrap winder,2.50,,1.50,3.00,,,,,,,,,7.00
Carry Over Table,,2.00,,,,,,,,,,,2.00
Peeler table,,,,0.25,,,,,,,,,0.25
Edge guide,,,,,,,,,,,,,
Maint on Limit Switch/shear,,,,,,,,,,,,,
Recoiler/Pusher Plate/sleeve,2.00,,3.75,3.75,,,,,,,,,9.50
Recoiler Brake/Support Arm,,,,2.50,,,,,,,,,2.50
Maint. On Encoder,2.25,,,,,,,,,,,,2.25
Slitter head/Jetnut/fuse,1.50,0.75,0.50,0.50,,,,,,,,,3.25
Slitter brake,,,,,,,,,,,,,
Transverse unit/no power,,,,,,,,,,,,,
TOTALS,26.00,5.25,16.00,23.50,,,,,,,,,70.75
