NON MAINTENANCE RELATED,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC,TOTALS
Dumping scrap/cleaning up scrap,,0.25,,1.50,,,,,,,,,1.75
Packaging/Banding cuts,,,,,,,,,,,,,
Clear Line/line backed up,0.50,,0.50,0.25,,,,,,,,,1.25
Line down no reason given,,,,,,,,,,,,,
Training,,,,,,,,,,,,,
quit cutting,,,,,,,,,,,,,
Cuts out of separator disc,,,1.50,,,,,,,,,,1.50
Cuts pulled out of recoiler,,,,,,,,,,,,,
Mults crossed,,,,,,,,,,,,,
Cuts wrapped around head,,,,,,,,,,,,,
Setup over/under arms,,,,,,,,,,,,,
Grind Heavy Burr,,,,,,,,,,,,,
Packaging/Banding cuts,,,,,,,,,,,,,
Storm Shelter,,0.50,,,,,,,,,,,0.50
Clean up,,,0.25,,,,,,,,,,0.25
Quality decision/Waiting on mill,0.75,0.25,1.75,,,,,,,,,,2.75
Redo overarm/underarm set-up,,0.50,1.50,1.25,,,,,,,,,3.25
Waiting on crane,,,,,,,,,,,,,
Waiting on coil car,,,,,,,,,,,,,
Waiting on coil/Wrong coil loaded,1.25,,0.50,,,,,,,,,,1.75
Waiting on Packline,,,,,,,,,,,,,
Broken Overarm Disc,,,,,,,,,,,,,
Waiting on overarm setup,,,,,,,,,,,,,
Lost Power,,0.25,,,,,,,,,,,0.25
No Operator/crew/work,1.00,,,,,,,,,,,,1.00
2 Dead Head,3.50,1.50,,2.00,,,,,,,,,7.00
Fix setup Bad/broken knife,5.00,0.75,3.75,0.25,,,,,,,,,9.75
Waiting on Setup,7.00,12.75,9.75,1,,,,,,,,,39.50
shim setup,0.25,,,,,,,,,,,,0.25
Bad head set-up,3.25,5.00,4.25,3.25,,,,,,,,,15.75
Sleeve Change,2.25,,,1.50,,,,,,,,,3.75
Change/Build dragpads,,,,,,,,,,,,,
TOTALS,24.75,21.25,24.25,2,,,,,,,,,90.25
