NON MAINTENANCE RELATED,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC,TOTALS
Line full (Packaging),0.5,0.75,5,12.25,,,,,,,,,18.5
Gathering Lumber,0,0.25,,0.5,,,,0,,0,0,0,0.75
Waiting/looking for inserts ,,0.5,0,,0,0,0,0,0,0,0,0,0.5
Torching up coil/cut out ID,,1.5,0.75,0.25,,,,,,,,0,2.5
Space restraints/Line shut down,0,,0,0,,,,0,0,0,0,0,0
Coil fell off uncoiler cones,0,0,,,,,,,,,,,0
Burn test,0,0,,,0,,,0,0,0,0,,0
Cutting Lumber/No Lumber,,1.5,0.25,1,,,,,,,,,2.75
CLeanup general,,,,0.25,,,,,,,,,0.25
Cleanup Dumping Hoppers,,,,,,,,,,,,,0
Burn test,0,,,,,,,,,,,,0
Weather Alert Storm Shelter,,,,,0,,,,,0,,,0
Training,,,,,0,,,,,,,,0
Waiting on crane,0,,,,,,,,,,,,0
No Operator/Line Personnel,0,0,0.75,,0,,,,,0,,,0.75
Waiting on coil,,3.75,0.5,0.25,,,,,,,,,4.5
Waiting for supervisor/Watch coil ,,,,,,,,,,,,,0
Quality decision,0.5,0.5,0.75,0.25,,,,,,,,,2
Restock/pulled Coil,1,5.75,3.5,2.5,,,,,,,,,12.75
Clean Leveler,,,,0,0,,0,,,,,,0
Wrong coil/Change out coil,,0.5,,,,,,,,,,,0.5
No coil up on line,,0.25,,,,,0,0,,,,,0.25
TOTALS,2,15.25,11.5,17.25,0,0,0,0,0,0,0,0,46
