MAINTENANCE RELATED,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC,TOTALS
Maint on accumulator,0,,0,0,,,,,,,,0,0
Maint on stretcher,0.25,14.5,10,5.75,,,,,,,,,30.5
Main Power fault/power outage,,,,,,,,,,,,0,0
Entry coil car,,,,0.25,,,,,,,,,0.25
Maint on uncoiler/Cabinet/fault/Estop,,,1,1,,,,,,,,,2
Maint on uncoiler ,2.5,5,1.25,5,0,,,,,,0,,11.25
Maint on uncoiler side guides,,0.25,0.25,1.75,0,0,,0,,,0,,2.25
Maint on Shear,,2.5,0,0,0,0,0,0,,,0,,2.5
Oil levels low,,0,0,0,0,0,0,0,,,0,,0
Maint on light curtain,,0.75,,,,,,,,,,,0.75
Cleaning water out of pit,,0,1,,0,0,,0,,,,,1
Breaker/Pinch Roll,,,,0,0,,,0,,,,,0
Change filters,,,,,,,,,,,,0,0
Maint on  Leveller/ Table,,,11.25,9,,,,,,,,,20.25
Maint on Sensors,,,0.5,,,,,,,,,,0.5
Stenciler,0.25,3.25,3.25,3.5,,,,,,,,,10.25
Crane down/Maint using crane,,0.5,,2.25,,,,,,,,,2.75
Maintenance on line no reason given,4.5,0.5,5,1.5,,,,,,,,,11.5
Change Shear Blades/Gap,2,7.5,11.25,13.25,,,,,,,,,34
Exit VFD Fault,0,,,,,,,,,,,0,0
Fixing motor/roll on conveyor,,1,,,,,,,,,,,1
Maint on Hydraulics/leak,,,,,,,,,,,,,0
Maint on stacker,,2.25,1.5,1.5,,,,,,,,,5.25
Maint on Pumps,,,,,,,,,,,,,0
Maint on threading table,,,,0.25,,0,,0,0,,,0,0.25
Maint on backstop,,,,0.5,,,,,,,,,0.5
Roll Feed Issue,,0.25,0.75,2.25,,,,,,,,0,3.25
Maint. On Info Screens,0,0.75,,0,,0,0,0,,,,0,0.75
Broken/Loose coupling Stretcher,,,,,,0,,,,,0,0,0
Low/ No Air Pressure,1.75,,1,0.75,,,0,,,,,,3.5
Entry Peeler Table,,4.5,0.75,1.25,0,,,,,0,,,6.5
TOTALS,11.25,43.5,48.75,49.75,0,0,0,0,0,0,0,0,150.75
