Month,1st,2nd
01/01/2022,17.43,9.56
02/01/2022,19.86,12.92
03/01/2022,16.77,12.21
04/01/2022,18.47,16.96
05/01/2022,19.40,12.04
06/01/2022,20.88,12.40
07/01/2022,20.19,14.05
08/01/2022,17.18,14.63
09/01/2022,15.38,17.48
10/01/2022,25.29,16.92
11/01/2022,20.31,15.72
12/01/2022,22.24,17.07
01/01/2023,21.06,16.68
02/01/2023,17.12,15.04
03/01/2023,20.69,18.51
04/01/2023,17.94,15.40
05/01/2023,14.94,17.60
06/01/2023,19.20,17.41
07/01/2023,19.48,13.19
08/01/2023,15.26,16.42
09/01/2023,12.92,15.91
10/01/2023,17.37,17.72
11/01/2023,23.96,23.62
12/01/2023,24.60,18.14
01/01/2024,17.46,13.73
02/01/2024,17.62,16.19
03/01/2024,20.56,17.54
