Month,Tons,
6/30/2011,4755.26,
7/31/2011,6185.66,
8/31/2011,11989.21,
9/30/2011,13064.38,
10/31/2011,15321.71,
11/30/2011,12871.78,
12/31/2011,16906.36,
1/31/2012,16395.71,
2/28/2012,24254.64,
3/31/2012,22592.9,
4/30/2012,24149.57,
5/31/2012,22272.05,
6/30/2012,22583.93,
7/31/2012,18829.37,
8/31/2012,20164.19,
9/30/2012,21104.18,
10/31/2012,17473.08,
11/30/2012,17749.2,
12/31/2012,16553.32,
1/31/2013,11630.24,
2/28/2013,19306.66,
3/31/2013,19846.57,
4/30/2013,23370.22,
5/31/2013,22043.2,
6/30/2013,22654.02,
7/31/2013,23096.7,
8/31/2013,26824.82,
9/30/2013,28158.67,
10/31/2013,31004.12,
11/30/2013,23052.69,
12/31/2013,17658.48,
1/31/2014,16164.13,
2/28/2014,20095.31,
3/31/2014,22353.48,
4/30/2014,27007.96,
5/31/2014,31976.01,
6/30/2014,30228.85,
7/31/2014,35881.74,
8/31/2014,33296.56,
9/30/2014,40514.35,
10/31/2014,44568.71,
11/30/2014,30750.25,
12/31/2014,38235.72,
1/31/2015,35139.36,
2/28/2015,25559.77,
3/31/2015,29521.37,
4/30/2015,30695.06,
5/31/2015,30071.01,
6/30/2015,26227.32,
7/31/2015,29935.69,
8/31/2015,25636.1,
9/30/2015,27185.24,
10/31/2015,30045.42,
11/30/2015,24227.7,
12/31/2015,24794.44,
1/31/2016,31336.78,
2/28/2016,28491.33,
3/31/2016,31466.35,
4/30/2016,26641.35,
5/31/2016,28459.66,
6/30/2016,26013.58,
7/31/2016,20858.07,
8/31/2016,23304.71,
9/30/2016,21929.36,
10/31/2016,20136.83,
11/30/2016,18421.77,
12/31/2016,20041.68,
1/31/2017,21865.28,
2/28/2017,28553.55,
3/31/2017,26765.08,
4/30/2017,20809.13,
5/31/2017,25021.37,
6/30/2017,19643.79,
7/31/2017,19016.28,
8/31/2017,22708.26,
9/30/2017,22605.2,
10/31/2017,20051.64,
11/30/2017,20392.81,
12/31/2017,21729.4,
1/31/2018,26602.4,
2/28/2018,25728.9,
3/31/2018,27805.3,
4/30/2018,27261.4,
5/31/2018,25704.5,
6/30/2018,23469.4,
7/31/2018,24666.5,
8/31/2018,29069.7,
9/30/2018,25330.3,
10/31/2018,33148.0,
11/30/2018,26251.0,
12/31/2018,29087.0,
1/31/2019,30673.6,
2/28/2019,27901.6,
3/31/2019,32583.2,
4/30/2019,27818.0,
5/31/2019,26603.8,
6/30/2019,26911.4,
7/31/2019,27287.8,
8/31/2019,23864.3,
9/30/2019,25406.0,
10/31/2019,28834.8,
11/30/2019,27122.3,
12/31/2019,26704.2,
1/31/2020,29257.5,
2/29/2020,24906.7,
3/31/2020,21787.1,
4/30/2020,13242.9,
5/31/2020,19863.2,
6/30/2020,24639.8,
7/31/2020,27019.6,
8/31/2020,25872.9,
9/30/2020,27533.5,
10/31/2020,26341.3,
11/30/2020,24582.9,
12/31/2020,26113.9,
1/31/2021,27396.3,
2/28/2021,24235.4,
3/31/2021,31589.1,
4/30/2021,29421.2,
5/31/2021,31258.5,
6/30/2021,28835.6,
7/31/2021,30546.8,
8/31/2021,32571.2,
9/30/2021,31249.6,
10/31/2021,34096.7,
11/30/2021,28764.9,
12/31/2021,30658.4,
1/31/2022,29586.3,
2/28/2022,26897.5,
3/31/2022,32254.7,
4/30/2022,28973.9,
5/31/2022,29716.2,
6/30/2022,28132.8,
7/31/2022,29204.5,
8/31/2022,27683.2,
9/30/2022,26096.7,
10/31/2022,28147.6,
11/30/2022,26240.3,
12/31/2022,27836.7,
1/31/2023,26795.6,
2/28/2023,24581.9,
3/31/2023,27432.5,
4/30/2023,25873.2,
5/31/2023,24196.4,
6/30/2023,26918.6,
7/31/2023,28214.7,
8/31/2023,26379.3,
9/30/2023,25036.5,
10/31/2023,27345.9,
11/30/2023,25942.7,
12/31/2023,27583.4,
1/31/2024,26215.7,
2/28/2024,21607.46,
3/31/2024,23548.49,
4/30/2024,25888.13
