Month,1st,2nd
01/01/2022,21.16,19.08
02/01/2022,23.54,20.87
03/01/2022,20.46,18.91
04/01/2022,20.02,20.15
05/01/2022,20.25,20.04
06/01/2022,18.47,23.69
07/01/2022,19.21,23.49
08/01/2022,22.68,23.75
09/01/2022,23.82,26.00
10/01/2022,21.10,22.23
11/01/2022,20.47,22.46
12/01/2022,17.93,25.88
01/01/2023,19.33,25.51
02/01/2023,18.02,22.31
03/01/2023,18.24,22.68
04/01/2023,20.24,22.42
05/01/2023,20.06,19.80
06/01/2023,22.87,20.96
07/01/2023,17.56,19.76
08/01/2023,18.33,22.60
09/01/2023,21.08,22.68
10/01/2023,19.70,19.11
11/01/2023,18.60,18.26
12/01/2023,24.20,22.21
01/01/2024,20.00,21.81
02/01/2024,22.66,18.46
03/01/2024,18.89,20.36
04/01/2024,
