Date,Description,Recordable
1/12/2019,Worker was wrapping bundles of sheets @ the Bradbury Knocked 2 bundles of sheets onto the floor Worker was not certified to be running the crane,N
1/21/2019,Employee was taking bundles of sheets to sit down in the finished goods area He had the crane too low and crashed into some other bundles that were already on the floor Worker was not certified on the crane at this time,N
1/28/2019,Employee was moving some material in the sheet bay He hit the wrong button on the crane causing a sheet to slide off the bundle onto another one,N
1/31/2019,Coil fell off of the Pro-Eco coil cart while taking it to the packline Guide poles were damaged as a result,N
2/6/2019,Worker was attempting to move material off the recoiler at the Stamco The coil shifted while being pushed off causing some of the material to fall into the floor,N
2/20/2019,Employee smashed his left thumb while trying to change out the LP tank on the forklift,N
3/18/2019,Employee was checking squareness on material at the Bradbury CTL He caught his left foot on a floor cover and twisted his knee,Y
3/21/2019,Worker was tightening the jet nut down on the Pro-Eco slitter head setup He didn't have the necessary tools for the job and ended up hitting his hand with a hammer,N
3/23/2019,Employee was helping others take some damaged material off the Braner uncoiler While doing this the material slid back unexpectedly causing his leg to get pinned between the material and the nearby railing Suffered lacerations to the right leg,Y
4/8/2019,Worker was taking off a jet nut at the Pro-Eco setup area The jet nut came loose and smashed 3 of his fingers on his left hand,N
4/12/2019,Worker was helping pull trim on the Braner He turned around and ran into the trim causing a minor laceration to the right eyebrow,N
4/24/2019,Crane operator was travelling with the overhead crane in the Master Coil Bay He did NOT have his eyes on the crane and sent the crane the opposite direction in which he was walking This caused the crane to run into the West wall in the MC bay,N
5/18/2019,While operating the crane on the braner line he was trying to lift the coil out of the turnstile arm and got the C-hook hung up and put too much pressure on the crane cables The cables broke and the crane came down,N
5/21/2019,While placing trim in the scrap winder Antion was trying to tighten up the scrap when he brushed his arm against the trim and it cut him,N
6/2/2019,While banding a coil on the Braner Michael brushed his arm against another band and cut his arm Suffered laceration to his right forearm,Y
6/12/2019,While throwing away scrap Leandrae turn and caught his arm on a piece of scrap and cut his right forearm,Y
6/24/2019,While throwing away scrap a piece of scrap fell ad caught Daius on the right arm,Y
7/1/2019,While cutting a band off a coil David cut the tendon of his middle finger on his left hand,Y
7/10/2019,While pulling a coil a coil next to it rolled and the one on top fell to the floor,N
7/24/2019,Tripped over a piece wood and fell and brused upper rib area scratched right elbow,N
7/28/2019,Was operating the table and didn't put the arm out far enough and the coil slipped off and fell to the floor,N
7/30/2019,Picking up two 4x4' and strained his back,Y
8/2/2019,Welding caused major fire in Pro-Eco pit,N
8/3/2019,14 Cut coil had fell over causing possible damage to coils,N
9/9/2019,While stepping up didn’t push off hard enough and fell back and scratched his finger,N
9/26/2019,Finger was caught between sheet and cut off the end of it,Y
10/14/2019,While cutting a band off a coil Reid was cut by a second band on his right hand,Y
